Tekmvanje,Država,Tekmovalec
JBMO,Bosnia and Herzegovina,Milica Babić
JBMO,Greece,Filippas Spyridon
JBMO,Greece,Tsangalidou Zoi
JBMO,Indonesia,Albert Lucianto
JBMO,Greece,Fyseki Anna Maria
JBMO,Serbia,Stanislav Todorovic
JBMO,Bulgaria,Nezabravkov Cherganski Aleksander
JBMO,Montenegro,Andjela Markovic
JBMO,Moldova,Hornet Vladlena
JBMO,Moldova,Vizitiv Gleb
JBMO,Tajikistan,Davlatshohi Abdujalil
JBMO,Moldova,Mamaliga Catalina
JBMO,Moldova,Dolgopol Romina
JBMO,Bulgaria,Ngo Ngoc Cuong
JBMO,North Macedonia,Markoski Marko
JBMO,Albania,Starja Bora
JBMO,Azerbaijan,Ismayilov Elsavar
JBMO,Azerbaijan,Maharramov Mehdi
JBMO,Azerbaijan,Abdullayev Ibrahim
JBMO,Tajikistan,Sobirdzhoni Bobizoda
JBMO,Bosnia and Herzegovina,Adnan Kreho
JBMO,Cyprus,Andreas Economou
JBMO,North Macedonia,Trajchev Dragan
JBMO,Bosnia and Herzegovina,Filip Bozic
JBMO,Kazakhstan,Sumekenov Akhmad
JBMO,Bulgaria,Rumen Rumenov Vasilev
JBMO,Cyprus,Ariadni Assou
JBMO,Bosnia and Herzegovina,Pasko Zdilar
JBMO,Cyprus,Vasilis Thoma
JBMO,Cyprus,Athanasopoulos Dimitrios
JBMO,North Macedonia,Simonovikj Sanja
JBMO,Bosnia and Herzegovina,Naria Djedovic
JBMO,North Macedonia,Bosilkovski Hristijan
JBMO,Albania,Arbli Troshani
JBMO,Cyprus,Chatzimilti Christodoulos
JBMO,Moldova,Cotos Alexandru
JBMO,Turkmenistan,Yagshymammet Annamammedov
JBMO,Albania,Enes Kristo
JBMO,Albania,Ksander Bonjo
JBMO,Turkmenistan,Myrat Altyyev
JBMO,Turkmenistan,Mekan Chariyev
JBMO,Romania,Ioan-Laurenţiu Ploscaru
JBMO,Türkiye - B,Feyza Duman
JBMO,Bulgaria,Violeta Nikolaeva Naydenova
JBMO,Türkiye,Ahmet İleri
JBMO,Indonesia,Rezky Arizaputra
JBMO,Kazakhstan,Ismailov Akhan
JBMO,Türkiye - B,İhsan Mert Atalay
JBMO,Romania,Teodor-Andrei Andronache
JBMO,Serbia,Luka Vukelić
JBMO,Türkiye,Ömer Avcı
JBMO,Türkiye,Enes Faruk Çona
JBMO,Indonesia,Nicholas Steven Husada
JBMO,Saudi Arabia,Alzubair Habibullah
JBMO,United States,Alec Xiaoqiu Sun
JBMO,Bulgaria,Stanislav Ivaylov Slavov
JBMO,Türkiye,Mehmet Ali Şi̇mşek
JBMO,United States,Ashwin Sah
JBMO,United States,James Henry Lin
JBMO,Romania,Andrei Paşa
JBMO,Romania,Ciprian-Mircea Bonciocat
JBMO,Romania,Filip-Alexandru Ion
JBMO,Serbia,Jana Vučković
JBMO,Türkiye,İlker Can Çiçek
JBMO,Türkiye - B,İbrahim Aşik
JBMO,Türkiye - B,Hakan Si̇vük
JBMO,Türkiye - B,Feyza Yavuz
JBMO,Bulgaria,Mariya Grigorova Delyakova
JBMO,Greece,Dimitrios Chrysovalantis Melas
JBMO,Serbia,Tadija Mitrović
JBMO,Tajikistan,Kalomidin Klychev
JBMO,Bulgaria,Aleksandar Valentinov Ivanov
JBMO,Romania,Cristian-Florentin Teleanu
JBMO,Serbia,Ognjen Tošić
JBMO,Azerbaijan,Mahammad Shirinov
JBMO,France,Félix Breton
JBMO,Kazakhstan,Alimzhan Yerkenuly
JBMO,Kazakhstan,Alexandr Shakiyev
JBMO,North Macedonia,Andrej Ilievski
JBMO,Azerbaijan,Ismat Aghayev
JBMO,Montenegro,Nikola Raičević
JBMO,Greece,Panagiotis Misiakos
JBMO,Türkiye,Ömer Yilmaz
JBMO,Bosnia and Herzegovina,Tijana Babić
JBMO,Tajikistan,Jakhongir Murodov
JBMO,United States,Mihir Anand Singhal
JBMO,Serbia,Danilo Tošović
JBMO,Philippines,Farrell Eldrian S. Wu
JBMO,Bosnia and Herzegovina,Milica Babić
JBMO,Cyprus,Andreas Economou
JBMO,United States,Swapnil Garg
JBMO,Bosnia and Herzegovina,Berin Spahović
JBMO,Moldova,Vladlena Horneț
JBMO,Kazakhstan,Alparslan Maxat Shayakhmetov
JBMO,Tajikistan,Nasimjon Madmurodov
JBMO,Türkiye - B,Osman Berke Çankaya
JBMO,United States,Ankan Bhattacharya
JBMO,Greece,Georgios Venizelos
JBMO,Moldova,Cezar Port
JBMO,Greece,Nikolaos Kalosidis
JBMO,France,Arthur Nebout
JBMO,Philippines,Shaquille Wyan T. Que
JBMO,Albania,Gledis Kallço
JBMO,Bulgaria,Dona-Maria Radoslavova Ivanova
JBMO,France,Adrien Lemercier
JBMO,France,Alexandre Thiault
JBMO,Indonesia,Anantyanto Kurnia Wicaksono
JBMO,Bosnia and Herzegovina,Zlatko Salko Lagumdzija
JBMO,Bulgaria,Hristo Georgiev Papazov
JBMO,Moldova,Nicoleta Mahu
JBMO,Serbia,Stanislav Todorovic
JBMO,France,Lucie Wang
JBMO,Indonesia,Sultan Rizky Hikmawan Madjid
JBMO,Cyprus,Ariadni Assou
JBMO,Moldova,Valeriu Cojocari
JBMO,Albania,Liana Shpani
JBMO,Albania,Enes Kristo
JBMO,Cyprus,Stelios Stylianou
JBMO,Cyprus,Andreas Theocharous
JBMO,Tajikistan,Usmonjon Ashurmatov
JBMO,Greece,Filippos Ilarion Sytilidis
JBMO,Indonesia,Boen Anthony William Brian
JBMO,Kazakhstan,Akhmad Sumekenov
JBMO,Bosnia and Herzegovina,Naria Djedovic
JBMO,Bosnia and Herzegovina,Amar Kurić
JBMO,France,Vincent Bouis
JBMO,Moldova,Grigore Dabija
JBMO,Philippines,John Aries Ceazar T. Hingan
JBMO,Saudi Arabia,Albader Alhydary
JBMO,Saudi Arabia,Osama Khawjah
JBMO,Greece,Rafail Ketsetsidis
JBMO,Saudi Arabia,Sanad Saleh
JBMO,Saudi Arabia,Omar Alrabiah
JBMO,Tajikistan,Bekhzod Shadiev
JBMO,Albania,Keivin Isufaj
JBMO,North Macedonia,Nikola Danevski
JBMO,Moldova,Elvira Serdțevoi
JBMO,Saudi Arabia,Ibrahim Abughararh
JBMO,North Macedonia,Tea Stoilkovska
JBMO,North Macedonia,Hristijan Bosilkovski
JBMO,Philippines,Gen Mark V. Tanno
JBMO,Cyprus,Constantinos Anastasiou
JBMO,Cyprus,Angelos Pelecanos
JBMO,Kazakhstan,Georgiy Pak
JBMO,North Macedonia,Stefan Petrevski
JBMO,Montenegro,Sanja Kastratović
JBMO,Albania,Fjona Parllaku
JBMO,Indonesia,Fauzan Hanandito Chaidir
JBMO,Philippines,Mark Davidson T. Cua
JBMO,Tajikistan,Maxad Gulobov
JBMO,Albania,Naisila Puka
JBMO,Montenegro,Danilo Stefanović
JBMO,Azerbaijan,Hamlet Asadullayev
JBMO,North Macedonia,Filip Josevski
JBMO,Azerbaijan,Jeyhun Huseynov
JBMO,Romania,Alexandru Mihalcu
JBMO,Romania,Antonie Ciocan
JBMO,Azerbaijan,Mahammad Shirinov
JBMO,Romania,Tudor Plopeanu
JBMO,Romania,Alexandru Pascadi
JBMO,Türkiye,Ahmed Said DÃ¶nmez
JBMO,Serbia,Ivan PeÅ¡iÄ
JBMO,Romania,Ciprian-Mircea Bonciocat
JBMO,France,FÃ©lix Breton
JBMO,Türkiye,Mustafa Burak Topal
JBMO,Greece,Tsintsilidas Dimitrios
JBMO,Kazakhstan,Amangeldin Temirlan
JBMO,Serbia,Lazar RadojeviÄ
JBMO,France,Lucie Wang
JBMO,Bulgaria,Irina Sofronova
JBMO,Türkiye,Mehmet Selahaddin Åentop
JBMO,France,MoÃ¯se Blanchard
JBMO,Saudi Arabia,Omar Tawfig Alrabiah
JBMO,Türkiye,Fethullah Erkam Åahan
JBMO,Romania,Mihnea-Gabriel Doica
JBMO,Serbia,Igor Medvedev
JBMO,Türkiye,Hasan Yasin Ãetin
JBMO,Greece,Tsiamis Rafail
JBMO,Kazakhstan,Amanbayeva Aruzhan
JBMO,Bosnia and Herzegovina,Amar KuriÄ
JBMO,Saudi Arabia,Renad Yahya Abualjamal
JBMO,Bosnia and Herzegovina,Azur ÄonlagiÄ
