Leto,Kraj,Gostiteljica,Ime,Priimek,Država,Mesto,Medalja,Skupno,Točke
1959,Braşov,Romania,Bohuslav,Diviš,Czechoslovakia,1,G,40,"['5', '8', '7', '5', '8', '7']"
1959,Braşov,Romania,György,Csanak,Hungary,2,G,37,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Basarab,Nicolescu,Romania,2,G,37,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Gábor,Halász,Hungary,4,S,36,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Cristian,Berthaler,Romania,4,S,36,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Cezar,Gheorghe,Romania,4,S,36,"[None, None, None, None, None, None]"
1959,Braşov,Romania,György,Muszély,Hungary,7,B,35,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Virgil,Brişcă,Romania,7,B,35,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Béla,Bollobás,Hungary,9,B,34,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Andrei,Tom,Union of Soviet Socialist Republics,9,B,34,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Mihail,Vrăjitoru,Romania,11,B,33,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Viktor,Fedorev,Union of Soviet Socialist Republics,12,HM,32,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Domokos,Szász,Hungary,13,HM,31,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Ivan,Titelnikov,Bulgaria,14,HM,30,"['5', '7', '7', '5', '2', '4']"
1959,Braşov,Romania,Valeriy,Frolov,Union of Soviet Socialist Republics,14,HM,30,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Karel,Šmuk,Czechoslovakia,16,HM,29,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Jiří,Moudrý,Czechoslovakia,17,HM,28,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Jiří,Votava,Czechoslovakia,17,HM,28,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Viorel,Barbu,Romania,17,HM,28,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Zdislav,Kovářík,Czechoslovakia,20,HM,25,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Jan,Tóke,Poland,20,HM,25,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Ferenc,Mezei,Hungary,22,,24,"[None, None, None, None, None, None]"
1959,Braşov,Romania,,,Romania,23,,23,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Petr,Balarev,Bulgaria,24,,22,"['5', '6', '7', '0', '0', '4']"
1959,Braşov,Romania,,,Czechoslovakia,25,,21,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Ambrus,Tihanyi,Hungary,25,,21,"[None, None, None, None, None, None]"
1959,Braşov,Romania,,,Romania,25,,21,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Maciej,Bryński,Poland,28,,20,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Stefan,Grabowski,Poland,29,,19,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Tadeusz,Józefiak,Poland,30,,18,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Rafail,Zlatarov,Bulgaria,31,,19,"['2', '5', '7', '1', '2', '2']"
1959,Braşov,Romania,Włodzimierz,Kuperberg,Poland,32,,16,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Tsvetana,Penkovska,Bulgaria,33,,15,"['0', '6', '5', '1', '0', '3']"
1959,Braşov,Romania,Gyula,Katona,Hungary,33,,15,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Aleksander,Chetajev,Union of Soviet Socialist Republics,33,,15,"[None, None, None, None, None, None]"
1959,Braşov,Romania,,,Czechoslovakia,36,,12,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Krzysztof,Putkiewicz,Poland,37,,11,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Ventseslav,Andreichev,Bulgaria,38,,20,"['5', '4', '5', '5', '0', '1']"
1959,Braşov,Romania,Ljubozar,Dimitrov,Bulgaria,38,,10,"['1', '7', '0', '1', '0', '1']"
1959,Braşov,Romania,Nedka,Ivanova,Bulgaria,40,,9,"['1', '6', '0', '1', '0', '1']"
1959,Braşov,Romania,,,Czechoslovakia,40,,9,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Bernd,Käsner,German Democratic Republic,40,,9,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Todor,Todorov,Bulgaria,43,,8,"['1', '6', '0', '0', '1', '0']"
1959,Braşov,Romania,Wiesław,Sielecki,Poland,43,,8,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Dieter,Domes,German Democratic Republic,45,,6,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Elke,Genz,German Democratic Republic,45,,6,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Werner,Schönberg,German Democratic Republic,45,,6,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Aleksandra,Warzecha,Poland,48,,5,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Ingrid,Seidel,German Democratic Republic,49,,4,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Frank,Zilger,German Democratic Republic,49,,4,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Frank,Köhler,German Democratic Republic,51,,3,"[None, None, None, None, None, None]"
1959,Braşov,Romania,Irene,Neumann,German Democratic Republic,52,,2,"[None, None, None, None, None, None]"
1960,Sinaia,Romania,Ivan,Korec,Czechoslovakia,1,G,43,"[None, None, None, None, None, None, None]"
